time,city,speed_kt,deg

2026-03-10 06:50:00,Juanda,1.6,269
2026-03-10 06:50:00,Perak,8.3,275
2026-03-10 06:50:00,Bawean,12.2,261
2026-03-10 06:50:00,Kalianget,2.5,350
2026-03-10 06:50:00,Banyuwangi,8.5,192
2026-03-10 06:50:00,KarangPloso,5.6,210
2026-03-10 06:50:00,Tretes,0.8,320
2026-03-10 06:50:00,KarangKates,7.5,225
2026-03-10 06:50:00,Sawahan,2.3,260
2026-03-10 06:50:00,Tuban,9.5,298
2026-03-10 06:50:00,Pacitan,8.0,251
2026-03-10 06:50:00,Dhoho,7.5,156
2026-03-10 07:00:00,Juanda,1.6,269
2026-03-10 07:00:00,Perak,8.3,275
2026-03-10 07:00:00,Bawean,12.2,261
2026-03-10 07:00:00,Kalianget,2.5,350
2026-03-10 07:00:00,Banyuwangi,8.5,192
2026-03-10 07:00:00,KarangPloso,5.6,210
2026-03-10 07:00:00,Tretes,0.8,320
2026-03-10 07:00:00,KarangKates,7.5,225
2026-03-10 07:00:00,Sawahan,2.3,260
2026-03-10 07:00:00,Tuban,9.5,298
2026-03-10 07:00:00,Pacitan,8.0,251
2026-03-10 07:00:00,Dhoho,7.5,156
2026-03-10 07:10:00,Juanda,8.0,100
2026-03-10 07:10:00,Perak,8.0,100
2026-03-10 07:10:00,Bawean,12.2,261
2026-03-10 07:10:00,Kalianget,2.5,350
2026-03-10 07:10:00,Banyuwangi,8.5,192
2026-03-10 07:10:00,KarangPloso,5.6,210
2026-03-10 07:10:00,Tretes,0.8,320
2026-03-10 07:10:00,KarangKates,7.5,225
2026-03-10 07:10:00,Sawahan,2.3,260
2026-03-10 07:10:00,Tuban,9.5,298
2026-03-10 07:10:00,Pacitan,8.0,251
2026-03-10 07:10:00,Dhoho,7.5,156
2026-03-10 07:20:00,Juanda,1.6,269
2026-03-10 07:20:00,Perak,8.3,275
2026-03-10 07:20:00,Bawean,12.2,261
2026-03-10 07:20:00,Kalianget,2.5,350
2026-03-10 07:20:00,Banyuwangi,8.5,192
2026-03-10 07:20:00,KarangPloso,5.6,210
2026-03-10 07:20:00,Tretes,0.8,320
2026-03-10 07:20:00,KarangKates,7.5,225
2026-03-10 07:20:00,Sawahan,2.3,260
2026-03-10 07:20:00,Tuban,9.5,298
2026-03-10 07:20:00,Pacitan,8.0,251
2026-03-10 07:20:00,Dhoho,7.5,156
2026-03-10 07:30:00,Juanda,2.5,296
2026-03-10 07:30:00,Perak,6.8,283
2026-03-10 07:30:00,Bawean,12.6,265
2026-03-10 07:30:00,Kalianget,4.5,332
2026-03-10 07:30:00,Banyuwangi,8.1,193
2026-03-10 07:30:00,KarangPloso,5.5,209
2026-03-10 07:30:00,Tretes,0.7,330
2026-03-10 07:30:00,KarangKates,6.7,226
2026-03-10 07:30:00,Sawahan,2.3,260
2026-03-10 07:30:00,Tuban,9.6,294
2026-03-10 07:30:00,Pacitan,8.0,251
2026-03-10 07:30:00,Dhoho,8.2,157
2026-03-10 07:40:00,Juanda,2.5,296
2026-03-10 07:40:00,Perak,6.8,283
2026-03-10 07:40:00,Bawean,12.6,265
2026-03-10 07:40:00,Kalianget,4.5,332
2026-03-10 07:40:00,Banyuwangi,8.1,193
2026-03-10 07:40:00,KarangPloso,5.5,209
2026-03-10 07:40:00,Tretes,0.7,330
2026-03-10 07:40:00,KarangKates,6.7,226
2026-03-10 07:40:00,Sawahan,2.6,279
2026-03-10 07:40:00,Tuban,9.6,294
2026-03-10 07:40:00,Pacitan,7.7,250
2026-03-10 07:40:00,Dhoho,8.2,157
2026-03-10 07:50:00,Juanda,2.5,296
2026-03-10 07:50:00,Perak,6.8,283
2026-03-10 07:50:00,Bawean,12.6,265
2026-03-10 07:50:00,Kalianget,4.5,332
2026-03-10 07:50:00,Banyuwangi,8.1,193
2026-03-10 07:50:00,KarangPloso,5.5,209
2026-03-10 07:50:00,Tretes,0.7,330
2026-03-10 07:50:00,KarangKates,6.7,226
2026-03-10 07:50:00,Sawahan,2.6,279
2026-03-10 07:50:00,Tuban,9.6,294
2026-03-10 07:50:00,Pacitan,7.7,250
2026-03-10 07:50:00,Dhoho,8.2,157
2026-03-10 08:00:00,Juanda,2.5,296
2026-03-10 08:00:00,Perak,6.8,283
2026-03-10 08:00:00,Bawean,12.6,265
2026-03-10 08:00:00,Kalianget,4.5,332
2026-03-10 08:00:00,Banyuwangi,8.1,193
2026-03-10 08:00:00,KarangPloso,5.5,209
2026-03-10 08:00:00,Tretes,0.7,330
2026-03-10 08:00:00,KarangKates,6.7,226
2026-03-10 08:00:00,Sawahan,2.6,279
2026-03-10 08:00:00,Tuban,9.6,294
2026-03-10 08:00:00,Pacitan,7.7,250
2026-03-10 08:00:00,Dhoho,8.2,157
2026-03-10 08:10:00,Juanda,2.5,296
2026-03-10 08:10:00,Perak,6.8,283
2026-03-10 08:10:00,Bawean,12.6,265
2026-03-10 08:10:00,Kalianget,4.5,332
2026-03-10 08:10:00,Banyuwangi,8.1,193
2026-03-10 08:10:00,KarangPloso,5.5,209
2026-03-10 08:10:00,Tretes,0.7,330
2026-03-10 08:10:00,KarangKates,6.7,226
2026-03-10 08:10:00,Sawahan,2.6,279
2026-03-10 08:10:00,Tuban,9.6,294
2026-03-10 08:10:00,Pacitan,7.7,250
2026-03-10 08:10:00,Dhoho,8.2,157
2026-03-10 08:20:00,Juanda,2.5,296
2026-03-10 08:20:00,Perak,6.8,283
2026-03-10 08:20:00,Bawean,12.6,265
2026-03-10 08:20:00,Kalianget,4.5,332
2026-03-10 08:20:00,Banyuwangi,8.1,193
2026-03-10 08:20:00,KarangPloso,5.5,209
2026-03-10 08:20:00,Tretes,0.7,330
2026-03-10 08:20:00,KarangKates,6.7,226
2026-03-10 08:20:00,Sawahan,2.6,279
2026-03-10 08:20:00,Tuban,9.6,294
2026-03-10 08:20:00,Pacitan,7.7,250
2026-03-10 08:20:00,Dhoho,8.2,157
2026-03-10 08:30:00,Juanda,8.0,100
2026-03-10 08:30:00,Perak,8.0,100
2026-03-10 08:30:00,Bawean,12.6,265
2026-03-10 08:30:00,Kalianget,4.9,325
2026-03-10 08:30:00,Banyuwangi,7.3,192
2026-03-10 08:30:00,KarangPloso,4.5,206
2026-03-10 08:30:00,Tretes,0.7,330
2026-03-10 08:30:00,KarangKates,5.5,228
2026-03-10 08:30:00,Sawahan,2.6,279
2026-03-10 08:30:00,Tuban,9.5,294
2026-03-10 08:30:00,Pacitan,7.7,250
2026-03-10 08:30:00,Dhoho,8.3,160
2026-03-10 08:40:00,Juanda,1.4,287
2026-03-10 08:40:00,Perak,6.2,294
2026-03-10 08:40:00,Bawean,12.3,270
2026-03-10 08:40:00,Kalianget,4.9,325
2026-03-10 08:40:00,Banyuwangi,7.3,192
2026-03-10 08:40:00,KarangPloso,4.5,206
2026-03-10 08:40:00,Tretes,0.9,51
2026-03-10 08:40:00,KarangKates,5.5,228
2026-03-10 08:40:00,Sawahan,3.2,264
2026-03-10 08:40:00,Tuban,9.5,294
